Date,Portfolio
2012-12-14,-0.0018701238632926854
2012-12-17,0.001210779381229257
2012-12-18,-8.020575125258965e-05
2012-12-19,0.012180943249983613
2012-12-20,0.004691342379387399
2012-12-21,0.002844787125397172
2012-12-24,0.0015508010741517339
2012-12-26,0.0010932051044109745
2012-12-27,5.5569505343872064e-05
2012-12-28,-0.009149414508796434
2012-12-31,0.005144244050509453
2013-01-02,0.0005293168771406245
2013-01-03,0.0020522066996915118
2013-01-04,0.001952565293107925
2013-01-07,-0.0011635676889085018
2013-01-08,-0.00475922877377087
2013-01-09,-0.00740155636148556
2013-01-10,0.00036287773130505964
2013-01-11,4.6992884348787275e-06
2013-01-14,-0.0009374521774917625
2013-01-15,0.006333849698622435
2013-01-16,0.006976371328350009
2013-01-17,0.005840346459179506
2013-01-18,0.015940359584129912
2013-01-21,0.008456915912034896
2013-01-22,-0.009444178207023904
2013-01-23,0.00152931754522611
2013-01-24,-0.0013108096765613712
2013-01-25,0.004904687878334875
2013-01-28,0.005010472911006918
2013-01-29,0.002223561772434473
2013-01-30,0.004124184015225045
2013-01-31,-0.00819531618308187
2013-02-01,0.005704807097875537
2013-02-04,-0.0007798235261899916
2013-02-05,0.0047263681021544575
2013-02-06,0.0009941160720428523
2013-02-07,-0.0031592225763318192
2013-02-08,0.014791103491058477
2013-02-11,-0.005127391698198414
2013-02-12,0.009276690603079615
2013-02-13,0.009761477672765181
2013-02-14,0.009953286664382539
2013-02-15,0.019703216175054224
2013-02-18,0.008617908282999862
2013-02-19,0.0005025986188402583
2013-02-20,0.003139775655447691
2013-02-21,-0.009185262774344857
2013-02-22,0.008375987553329255
2013-02-25,0.003995223476056309
2013-02-26,-0.018113879156832373
2013-02-27,0.006721837800441343
2013-02-28,0.006513934139573693
2013-03-01,0.00020175451079359655
2013-03-04,0.00658675360558786
2013-03-05,0.0032717639247314017
2013-03-06,0.008870773135006605
2013-03-07,0.0011863852782840365
2013-03-08,0.004235958406005501
2013-03-11,-0.003189178097018822
2013-03-12,-0.001342373322436562
2013-03-13,0.00701392419632109
